Condition,PropertyType,PropertySubType,Bedrooms,Bathrooms,AreaNet,AreaGross,Parking,Latitude,Longitude,Parish,Price,PricePerBedroom,BathroomToBedroom,AreaUtilizationRatio,PropertyCategory
Used,Homes,Apartment,3,1,76.0,152.0,0,38.7792,-9.1186,Olivais,198000,66000.0,0.3333333333333333,0.5,Homes_Apartment
Used,Homes,Duplex,5,3,190.0,380.0,0,38.7056,-9.1784,Alcantara,1270000,254000.0,0.6,0.5,Homes_Duplex
Used,Homes,Apartment,1,1,26.0,52.0,0,38.7058,-9.1639,Estrela,140000,140000.0,1.0,0.5,Homes_Apartment
Used,Homes,Apartment,5,4,185.0,370.0,0,38.7466,-9.164,Sao Domingos de Benfica,995000,199000.0,0.8,0.5,Homes_Apartment
Used,Homes,Apartment,7,1,150.0,300.0,0,38.7323,-9.1287,Arroios,570000,81428.57142857143,0.14285714285714285,0.5,Homes_Apartment
Used,Homes,Apartment,3,2,95.0,190.0,0,38.6965,-9.2099,Belem,425000,141666.66666666666,0.6666666666666666,0.5,Homes_Apartment
Used,Homes,Apartment,3,1,76.0,152.0,0,38.7544,-9.1129,Marvila,130000,43333.333333333336,0.3333333333333333,0.5,Homes_Apartment
Used,Homes,Apartment,3,1,81.0,162.0,0,38.7561,-9.1796,Sao Domingos de Benfica,215000,71666.66666666667,0.3333333333333333,0.5,Homes_Apartment
Used,Homes,Apartment,2,1,58.0,116.0,0,38.7792,-9.1186,Olivais,196000,98000.0,0.5,0.5,Homes_Apartment
Used,Homes,Apartment,5,3,266.125,532.25,0,38.7632,-9.1687,Lumiar,925000,185000.0,0.6,0.5,Homes_Apartment
Used,Homes,Apartment,2,1,68.0,136.0,0,38.7449,-9.1209,Marvila,170000,85000.0,0.5,0.5,Homes_Apartment
Used,Homes,Apartment,3,2,97.0,194.0,0,38.7077,-9.2059,Belem,440000,146666.66666666666,0.6666666666666666,0.5,Homes_Apartment
Used,Homes,Apartment,2,2,72.0,144.0,0,38.7122,-9.1299,Santa Maria Maior,235000,117500.0,1.0,0.5,Homes_Apartment
Used,Homes,Apartment,3,2,120.0,240.0,0,38.7796,-9.0938,Parque das Nacoes,565000,188333.33333333334,0.6666666666666666,0.5,Homes_Apartment
Used,Homes,Apartment,1,1,65.0,130.0,0,38.7807,-9.1628,Santa Clara,217000,217000.0,1.0,0.5,Homes_Apartment
Used,Homes,Apartment,4,2,137.0,274.0,0,38.7463,-9.1439,Alvalade,450000,112500.0,0.5,0.5,Homes_Apartment
Used,Homes,Apartment,1,1,63.0,126.0,0,38.7269,-9.1649,Campolide,115000,115000.0,1.0,0.5,Homes_Apartment
Used,Homes,Apartment,2,1,70.0,140.0,0,38.7102,-9.1491,Misericordia,490000,245000.0,0.5,0.5,Homes_Apartment
Used,Homes,Apartment,3,2,101.0,202.0,0,38.7622,-9.1536,Lumiar,350000,116666.66666666667,0.6666666666666666,0.5,Homes_Apartment
Used,Homes,Apartment,2,1,56.0,112.0,0,38.7842,-9.166,Santa Clara,178000,89000.0,0.5,0.5,Homes_Apartment
Used,Homes,Apartment,3,2,90.0,180.0,0,38.7445,-9.1913,Benfica,249000,83000.0,0.6666666666666666,0.5,Homes_Apartment
Used,Homes,Apartment,2,1,66.0,132.0,0,38.7172,-9.1349,Santa Maria Maior,155000,77500.0,0.5,0.5,Homes_Apartment
Used,Homes,Apartment,4,2,158.0,316.0,0,38.7118,-9.1328,Santa Maria Maior,1350000,337500.0,0.5,0.5,Homes_Apartment
